id_desk,kode_satker,id_pengguna,link,keterangan,pjk,target_bulan,progress,created_at,updated_at,status
99,1100,1,https://drive.google.com/drive/folders/1fZhge-cVudfFb8kD9FvlTq1LDdCOImGv?usp=drive_link,Bukti dukung belum diupload,TIm Diseminasi dan Pelayanan Statistik,,,,,
100,1100,1,https://drive.google.com/drive/folders/1JUqatZCLeqvs4dJOpmv_oFXHupqT_h3p?usp=drive_link,Bukti dukung belum diupload,TIm Diseminasi dan Pelayanan Statistik,,,,,
101,1100,1,https://drive.google.com/drive/folders/1_PVl4mZJxTabz8Mn5U3QCtRkCFuOWtMu?usp=drive_link,Bukti dukung belum diupload,TIm Diseminasi dan Pelayanan Statistik,,,,,
102,1100,1,https://drive.google.com/drive/folders/17lIy3e0E-XWreClKK2Wd62C-BVPb1mlJ?usp=drive_link,,,,,,,
103,1100,1,,,,,,,,
104,1100,1,,,,,,,,
105,1100,1,https://drive.google.com/drive/folders/1DCFcaPSb2DFzjdfeAQYpX4yzzyCfSubU?usp=drive_link,,,,,,,
106,1100,1,,,,,,,,
107,1100,1,,,,,,,,
108,1100,1,https://drive.google.com/drive/folders/1aRUBGolxfQE9Gcpip_UXj8W30wH3QlmL?usp=drive_link,,,,,,,
109,1100,1,https://drive.google.com/drive/folders/1Uq6_0CsPUrsOMeMLKWxvP05yIwb05Oni?usp=drive_link,,,,,,,
110,1100,1,https://drive.google.com/drive/folders/15Gh4FE8EF11FYlpuE_2icCA84B2GawG8?usp=drive_link,,,,,,,
111,1100,1,https://drive.google.com/drive/folders/1bKXV1t4DQ41rT840c-cD5N422_UvQ2pW?usp=drive_link,,,,,,,
112,1100,1,https://drive.google.com/drive/folders/1qr0KeDlbw8iicKqOcfjo6PFgm43zTNsw?usp=drive_link,,,,,,,
113,1100,1,https://drive.google.com/drive/folders/1JYsGdzPAfwsc6zNM1TJKOihWUvaaU46j?usp=drive_link,,,,,,,
114,1100,1,https://drive.google.com/drive/folders/1jUOdZTEkjRVD20TDHR_gRc350dnBF_09?usp=drive_link,,,,,,,
115,1100,1,https://drive.google.com/drive/folders/1CUlDSZ2NKFBtNi88XetejupV_x1xV2Ux?usp=drive_link,,,,,,,
116,1100,1,https://drive.google.com/drive/folders/1TYnHdtQrf4mCqfuJcYyfjPhZqll08KBf?usp=drive_link,,,,,,,
117,1100,1,https://drive.google.com/drive/folders/1Ihwu3gJ3HiZSLrwx7WdmckmYOw3UG4uK?usp=drive_link,,,,,,,
